"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"TSPO.4",0,1.73026094627682,0.871,0.162,0,"8","TSPO"
"LRP1.7",0,1.72968879347045,0.919,0.123,0,"8","LRP1"
"HLA.DQB1.5",0,1.71415946388256,0.835,0.116,0,"8","HLA.DQB1"
"RTN4.5",0,1.71295936019074,0.893,0.198,0,"8","RTN4"
"HLA.DPA1.7",0,1.70574350193049,0.883,0.157,0,"8","HLA.DPA1"
"ATP6V1F.3",0,1.70292627619399,0.87,0.116,0,"8","ATP6V1F"
"GNAI2.7",0,1.69242660646838,0.925,0.354,0,"8","GNAI2"
"RNASE1.2",0,1.69152866424457,0.526,0.06,0,"8","RNASE1"
"HLA.DPB1.7",0,1.68188768347384,0.878,0.184,0,"8","HLA.DPB1"
"IL1RN",0,1.67733498986618,0.522,0.016,0,"8","IL1RN"
"NEAT1.4",0,1.67684468355771,0.891,0.327,0,"8","NEAT1"
"CYP27A1",0,1.67359075367955,0.699,0.026,0,"8","CYP27A1"
"SPI1.3",0,1.66930802842218,0.848,0.05,0,"8","SPI1"
"GLUL.5",0,1.66306647987674,0.883,0.208,0,"8","GLUL"
"CEBPB.5",0,1.65996126986407,0.891,0.172,0,"8","CEBPB"
"FCGRT.4",0,1.65944222943604,0.9,0.123,0,"8","FCGRT"
"TMBIM6.6",0,1.65028715867439,0.941,0.384,0,"8","TMBIM6"
"DBI.4",0,1.64330951886587,0.82,0.144,0,"8","DBI"
"CD84.4",0,1.62247405143352,0.835,0.091,0,"8","CD84"
"C5AR1",0,1.61644116567301,0.819,0.033,0,"8","C5AR1"
"TPP1.3",0,1.61494211109911,0.859,0.114,0,"8","TPP1"
"CALM2.5",0,1.61188024972567,0.883,0.252,0,"8","CALM2"
"ARPC3.4",0,1.60911697767071,0.888,0.227,0,"8","ARPC3"
"SDCBP.4",0,1.59706145543774,0.867,0.132,0,"8","SDCBP"
"TTYH3",0,1.59576255753887,0.829,0.042,0,"8","TTYH3"
"MYADM.6",0,1.5935293081537,0.771,0.198,0,"8","MYADM"
"LY6E.4",0,1.59197622059735,0.855,0.176,0,"8","LY6E"
"PPIA.5",0,1.57229815001762,0.859,0.204,0,"8","PPIA"
"COTL1.4",0,1.56659426995499,0.877,0.216,0,"8","COTL1"
"ENO1.4",0,1.5637728091357,0.841,0.222,0,"8","ENO1"
"ANXA1.5",0,1.56009595336177,0.899,0.274,0,"8","ANXA1"
"CAP1.4",0,1.55928853315217,0.864,0.253,0,"8","CAP1"
"RHOB.4",0,1.55209731944491,0.79,0.155,0,"8","RHOB"
"PLAUR",0,1.54685122587484,0.751,0.038,0,"8","PLAUR"
"BCAP31.2",0,1.53409349069099,0.803,0.15,0,"8","BCAP31"
"LCP1.4",0,1.53405319768676,0.89,0.313,0,"8","LCP1"
"ATP6AP2.2",0,1.53248609873062,0.777,0.101,0,"8","ATP6AP2"
"RNF130.4",0,1.52754759308528,0.862,0.082,0,"8","RNF130"
"MARCKS.4",0,1.52721194170897,0.777,0.118,0,"8","MARCKS"
"VAT1.5",0,1.52600943467927,0.807,0.095,0,"8","VAT1"
"PLTP.6",0,1.51910093876291,0.765,0.066,0,"8","PLTP"
"SRGN.3",0,1.51700611377016,0.954,0.455,0,"8","SRGN"
"MGAT1.3",0,1.51490433924195,0.858,0.132,0,"8","MGAT1"
"ATP6V0B.3",0,1.51455227645184,0.828,0.101,0,"8","ATP6V0B"
"SYNGR2.5",0,1.51153690129538,0.868,0.129,0,"8","SYNGR2"
"CREG1",0,1.50066797099144,0.843,0.05,0,"8","CREG1"
"PPT1.2",0,1.49955393103678,0.816,0.089,0,"8","PPT1"
"ARPC2.5",0,1.49031469265642,0.881,0.332,0,"8","ARPC2"
"P4HB.4",0,1.47770452014598,0.851,0.199,0,"8","P4HB"
"A2M.5",0,1.4738882596602,0.835,0.127,0,"8","A2M"
"PLIN2.2",0,1.47097302471443,0.743,0.082,0,"8","PLIN2"
"FBP1",0,1.46050084111098,0.63,0.029,0,"8","FBP1"
"GNS.3",0,1.4585768386038,0.851,0.097,0,"8","GNS"
"TYMP.2",0,1.45728216462985,0.814,0.064,0,"8","TYMP"
"CD163",0,1.45401287095872,0.706,0.027,0,"8","CD163"
"LSP1.3",0,1.45152662679278,0.78,0.238,0,"8","LSP1"
"ATP6AP1.2",0,1.44803131899025,0.78,0.087,0,"8","ATP6AP1"
"ARRB2.3",0,1.44024737956612,0.849,0.119,0,"8","ARRB2"
"CTSC.3",0,1.43447716725766,0.828,0.125,0,"8","CTSC"
"PGK1.3",0,1.42936720590231,0.781,0.19,0,"8","PGK1"
"TMEM176B.3",0,1.42832747400421,0.775,0.058,0,"8","TMEM176B"
"SQSTM1.3",0,1.42345269797217,0.83,0.161,0,"8","SQSTM1"
"CD44.5",0,1.41976680295088,0.857,0.28,0,"8","CD44"
"CCDC88A",0,1.40960312639149,0.71,0.044,0,"8","CCDC88A"
"LILRB4",0,1.40740935827187,0.787,0.024,0,"8","LILRB4"
"SCARB2.1",0,1.40547534031311,0.781,0.072,0,"8","SCARB2"
"PCBP1.4",0,1.39683111614917,0.878,0.317,0,"8","PCBP1"
"FCGR3A.4",0,1.39575339770947,0.699,0.069,0,"8","FCGR3A"
"ZYX.1",0,1.39449204159294,0.825,0.141,0,"8","ZYX"
"LITAF.3",0,1.39132607348756,0.864,0.216,0,"8","LITAF"
"HLA.DMB.5",0,1.39085126940345,0.749,0.068,0,"8","HLA.DMB"
"CYBA.2",0,1.38932623151451,0.822,0.127,0,"8","CYBA"
"SLC15A3",0,1.38520225880564,0.783,0.034,0,"8","SLC15A3"
"ATP5E.5",0,1.38436208703385,0.904,0.333,0,"8","ATP5E"
"CSF1R",0,1.38151265885862,0.794,0.043,0,"8","CSF1R"
"VAMP8.2",0,1.37922619120772,0.817,0.118,0,"8","VAMP8"
"ITGB5",0,1.37458117280273,0.687,0.038,0,"8","ITGB5"
"CECR1",0,1.37381388898646,0.82,0.08,0,"8","CECR1"
"GNB2.3",0,1.36968767525657,0.82,0.223,0,"8","GNB2"
"CD53.3",0,1.36582969584658,0.864,0.257,0,"8","CD53"
"CPM",0,1.36502386628709,0.765,0.032,0,"8","CPM"
"SAMHD1.2",0,1.3633272804345,0.841,0.116,0,"8","SAMHD1"
"RAB7A.3",0,1.35774965544532,0.823,0.18,0,"8","RAB7A"
"PTAFR",0,1.35763947246445,0.775,0.031,0,"8","PTAFR"
"S100A9.1",0,1.35597410583028,0.659,0.033,0,"8","S100A9"
"HSPA8.4",0,1.35506230782599,0.871,0.335,0,"8","HSPA8"
"H2AFY.1",0,1.34602820222243,0.81,0.098,0,"8","H2AFY"
"SIRPA",0,1.34224608012031,0.777,0.055,0,"8","SIRPA"
"FTLP3",0,1.34185205846309,0.762,0.012,0,"8","FTLP3"
"GRINA.3",0,1.33917857176387,0.833,0.116,0,"8","GRINA"
"GPX4.2",0,1.33511784843508,0.816,0.158,0,"8","GPX4"
"NOP10",0,1.33234405204309,0.774,0.108,0,"8","NOP10"
"LGALS9",0,1.3272031985848,0.793,0.052,0,"8","LGALS9"
"RNASET2",0,1.3246757981973,0.8,0.106,0,"8","RNASET2"
"HLA.DMA.5",0,1.32409803100335,0.797,0.081,0,"8","HLA.DMA"
"RAB31.3",0,1.30771552982937,0.814,0.07,0,"8","RAB31"
"SH3BGRL.1",0,1.30668503025841,0.774,0.113,0,"8","SH3BGRL"
"GAA",0,1.30510872766585,0.787,0.054,0,"8","GAA"
"RAC1.5",0,1.30478833607377,0.849,0.206,0,"8","RAC1"
"CD4.2",0,1.30471640067813,0.807,0.102,0,"8","CD4"
"CAPNS1.4",0,1.30297746434045,0.843,0.248,0,"8","CAPNS1"
"TPM4.3",0,1.29847024695399,0.748,0.125,0,"8","TPM4"
"ARF1.4",0,1.29648818648388,0.828,0.274,0,"8","ARF1"
"SPARC.7",0,1.29158402575609,0.664,0.111,0,"8","SPARC"
"CTSL",0,1.29065101488888,0.691,0.048,0,"8","CTSL"
"CD276",0,1.28806433462158,0.6,0.027,0,"8","CD276"
"TALDO1",0,1.28510330846158,0.729,0.086,0,"8","TALDO1"
"TAPBP.2",0,1.27734102542322,0.852,0.261,0,"8","TAPBP"
"FXYD5.3",0,1.27698192960014,0.848,0.3,0,"8","FXYD5"
"LAPTM4A.6",0,1.2688033768178,0.797,0.188,0,"8","LAPTM4A"
"LAMP1.1",0,1.26864145359812,0.793,0.169,0,"8","LAMP1"
"ALDOA",0,1.26730856422633,0.72,0.08,0,"8","ALDOA"
"SDC2",0,1.26228746510527,0.543,0.033,0,"8","SDC2"
"LHFPL2",0,1.2604770250939,0.713,0.03,0,"8","LHFPL2"
"GLIPR2",0,1.25679451561478,0.68,0.099,0,"8","GLIPR2"
"CMTM6.2",0,1.25077783502918,0.78,0.14,0,"8","CMTM6"
"CD59.6",0,1.24642231108092,0.742,0.156,0,"8","CD59"
"ARPC5.1",0,1.24620934534501,0.804,0.137,0,"8","ARPC5"
"CHCHD10",0,1.24485851126978,0.767,0.104,0,"8","CHCHD10"
"IFITM3.8",0,1.24313935269297,0.836,0.245,0,"8","IFITM3"
"HM13",0,1.24163834000944,0.732,0.096,0,"8","HM13"
"YWHAB.5",0,1.23917685541859,0.877,0.344,0,"8","YWHAB"
"ANXA11.1",0,1.23676012032225,0.762,0.167,0,"8","ANXA11"
"GSTP1.3",0,1.23566417803296,0.784,0.162,0,"8","GSTP1"
"RNH1",0,1.23424439748408,0.765,0.094,0,"8","RNH1"
"LDHA.4",0,1.23409333271368,0.703,0.157,0,"8","LDHA"
"MSN.3",0,1.23076428745762,0.865,0.325,0,"8","MSN"
"FABP5",0,1.23065779660456,0.635,0.018,0,"8","FABP5"
"COMT",0,1.23038468625121,0.743,0.075,0,"8","COMT"
"MPP1",0,1.22905172947195,0.754,0.032,0,"8","MPP1"
"EIF4G2.1",0,1.22718831525991,0.819,0.231,0,"8","EIF4G2"
"DYNLL1.3",0,1.21828510852033,0.77,0.19,0,"8","DYNLL1"
"MFSD1",0,1.21618921264571,0.745,0.057,0,"8","MFSD1"
"ACTR2.1",0,1.2153411810706,0.81,0.201,0,"8","ACTR2"
"MFSD12",0,1.21486277325713,0.633,0.034,0,"8","MFSD12"
"COX4I1.3",0,1.21478086285643,0.849,0.326,0,"8","COX4I1"
"LRPAP1",0,1.21198450134974,0.73,0.084,0,"8","LRPAP1"
"CDC42.1",0,1.20216600478065,0.82,0.214,0,"8","CDC42"
"AIF1",0,1.20195930824411,0.761,0.047,0,"8","AIF1"
"FERMT3",0,1.20000218821961,0.752,0.098,0,"8","FERMT3"
"KLF4.5",0,1.19983189751793,0.735,0.13,0,"8","KLF4"
"MS4A6A",0,1.19897757461984,0.606,0.047,0,"8","MS4A6A"
"YWHAZ.2",0,1.19772656193455,0.797,0.229,0,"8","YWHAZ"
"MGST3.1",0,1.19152918991348,0.729,0.136,0,"8","MGST3"
"GNG5",0,1.19090513890113,0.765,0.118,0,"8","GNG5"
"FPR3",0,1.18734152249524,0.665,0.016,0,"8","FPR3"
"HSP90B1.3",0,1.18414141235197,0.755,0.209,0,"8","HSP90B1"
"RAB5C.1",0,1.17800060929065,0.79,0.144,0,"8","RAB5C"
"GABARAP",0,1.17573915585244,0.794,0.106,0,"8","GABARAP"
"SOD2.1",0,1.17352622499825,0.69,0.094,0,"8","SOD2"
"ATF3.1",0,1.16931806785571,0.699,0.075,0,"8","ATF3"
"CD83",0,1.16723938614198,0.671,0.042,0,"8","CD83"
"DAB2",0,1.16441667817003,0.712,0.049,0,"8","DAB2"
"COX8A.1",0,1.16402378212628,0.774,0.161,0,"8","COX8A"
"TKT",0,1.16155852489727,0.707,0.069,0,"8","TKT"
"DOK2",0,1.15976991803465,0.72,0.057,0,"8","DOK2"
"CYBB",0,1.15836134577602,0.683,0.033,0,"8","CYBB"
"MSR1",0,1.1554516523323,0.672,0.019,0,"8","MSR1"
"SLC37A2",0,1.15412075581719,0.62,0.011,0,"8","SLC37A2"
"PLEK",0,1.15009467494353,0.691,0.056,0,"8","PLEK"
"ENG.3",0,1.14753147582528,0.757,0.08,0,"8","ENG"
"OS9.1",0,1.14623164717026,0.754,0.136,0,"8","OS9"
"GSTO1",0,1.13622633135535,0.678,0.05,0,"8","GSTO1"
"IFNGR2",0,1.13222094776663,0.729,0.054,0,"8","IFNGR2"
"GADD45B.3",0,1.13124615073206,0.729,0.136,0,"8","GADD45B"
"ATP6V0E1",0,1.13100726560358,0.741,0.127,0,"8","ATP6V0E1"
"TPI1",0,1.12900101940016,0.71,0.113,0,"8","TPI1"
"ATP6V1B2",0,1.12835518998802,0.675,0.062,0,"8","ATP6V1B2"
"ATP5B",0,1.12385981415206,0.732,0.127,0,"8","ATP5B"
"MS4A7",0,1.12363483475503,0.754,0.038,0,"8","MS4A7"
"HEXA",0,1.12289437394335,0.716,0.056,0,"8","HEXA"
"FAM20C",0,1.12137136572801,0.645,0.027,0,"8","FAM20C"
"ATP1B3",0,1.12107971340533,0.704,0.079,0,"8","ATP1B3"
"BST2.1",0,1.12079457148949,0.767,0.148,0,"8","BST2"
"PTMS.2",0,1.11461846071135,0.723,0.121,0,"8","PTMS"
"TMBIM1",0,1.11323655393691,0.703,0.098,0,"8","TMBIM1"
"CAPZB.2",0,1.11288175899373,0.801,0.252,0,"8","CAPZB"
"EMILIN2",0,1.1123319182805,0.694,0.034,0,"8","EMILIN2"
"KIAA0930",0,1.11125517732317,0.668,0.048,0,"8","KIAA0930"
"ARHGDIA",0,1.11059047521185,0.746,0.178,0,"8","ARHGDIA"
"TPM3.1",0,1.10899546360016,0.771,0.183,0,"8","TPM3"
"TMED9",0,1.10853383156764,0.707,0.1,0,"8","TMED9"
"RAB1A",0,1.10679763336122,0.701,0.086,0,"8","RAB1A"
"ATP6V1A",0,1.10660204538458,0.684,0.052,0,"8","ATP6V1A"
"SIGLEC1",0,1.10592904399026,0.68,0.013,0,"8","SIGLEC1"
"C3AR1",0,1.10504785002684,0.681,0.038,0,"8","C3AR1"
"GRB2",0,1.10417007390755,0.762,0.131,0,"8","GRB2"
"LAIR1",0,1.10292905006698,0.707,0.051,0,"8","LAIR1"
"CD164.1",0,1.1023117562874,0.752,0.164,0,"8","CD164"
"CTSH",0,1.09298004783017,0.72,0.068,0,"8","CTSH"
"LRRFIP1.1",0,1.09074876495325,0.768,0.202,0,"8","LRRFIP1"
"PLXND1",0,1.09007612923479,0.729,0.079,0,"8","PLXND1"
"CCL18",0,1.08970628165563,0.433,0.005,0,"8","CCL18"
"FKBP1A.3",0,1.08736679746388,0.719,0.151,0,"8","FKBP1A"
"FTH1P10",0,1.08415503240932,0.635,0.014,0,"8","FTH1P10"
"ANPEP",0,1.08409356554534,0.619,0.04,0,"8","ANPEP"
"EMP3",0,1.07744229729916,0.681,0.076,0,"8","EMP3"
"FGR",0,1.07650707820343,0.623,0.043,0,"8","FGR"
"PLBD1",0,1.07575508532731,0.651,0.034,0,"8","PLBD1"
"IQGAP1.1",0,1.07357277456649,0.784,0.211,0,"8","IQGAP1"
"ACTR3",0,1.0705175344313,0.748,0.159,0,"8","ACTR3"
"LGALS3BP.1",0,1.06984082281023,0.7,0.083,0,"8","LGALS3BP"
"CCR1",0,1.06834205292032,0.675,0.025,0,"8","CCR1"
"FCGR2A",0,1.06525998145672,0.68,0.043,0,"8","FCGR2A"
"PFDN5.2",0,1.06082943732966,0.791,0.24,0,"8","PFDN5"
"PGD",0,1.05868607783616,0.662,0.048,0,"8","PGD"
"TLN1.1",0,1.05784857699129,0.762,0.22,0,"8","TLN1"
"TMEM59.1",0,1.05731429242968,0.709,0.188,0,"8","TMEM59"
"LILRB5",0,1.05726959678644,0.619,0.01,0,"8","LILRB5"
"MX1",0,1.05289338245807,0.639,0.051,0,"8","MX1"
"SLC43A2",0,1.05127990493448,0.645,0.034,0,"8","SLC43A2"
"CANX.1",0,1.05112251869915,0.738,0.168,0,"8","CANX"
"MMP19",0,1.05020564277596,0.538,0.014,0,"8","MMP19"
"HAVCR2",0,1.04741406769309,0.688,0.035,0,"8","HAVCR2"
"STAT1",0,1.04306463248428,0.672,0.094,0,"8","STAT1"
"HCK",0,1.04053756424772,0.675,0.033,0,"8","HCK"
"PPP1CA",0,1.03686475391743,0.712,0.148,0,"8","PPP1CA"
"CLTA",0,1.03577834007519,0.716,0.095,0,"8","CLTA"
"SLCO2B1",0,1.03340735470114,0.62,0.042,0,"8","SLCO2B1"
"ATP1A1.2",0,1.03176418570728,0.746,0.203,0,"8","ATP1A1"
"SLC7A7",0,1.03084318088988,0.665,0.023,0,"8","SLC7A7"
"IFIT3",0,1.03042240849858,0.616,0.037,0,"8","IFIT3"
"CALU",0,1.02971074538054,0.607,0.055,0,"8","CALU"
"P2RX4",0,1.02747323760528,0.607,0.031,0,"8","P2RX4"
"MMP14.1",0,1.02743169799919,0.652,0.055,0,"8","MMP14"
"ALCAM",0,1.02559308179789,0.586,0.031,0,"8","ALCAM"
"PLXNB2",0,1.02267900292557,0.68,0.067,0,"8","PLXNB2"
"RP5.1056L3.3.2",0,1.01992520106538,0.788,0.224,0,"8","RP5.1056L3.3"
"CORO1C",0,1.01913479134278,0.658,0.031,0,"8","CORO1C"
"ZFAND5",0,1.0190706491945,0.687,0.118,0,"8","ZFAND5"
"MITF",0,1.01763925370892,0.643,0.033,0,"8","MITF"
"SHISA5",0,1.0173189971918,0.72,0.134,0,"8","SHISA5"
"UCP2.2",0,1.01727357289962,0.72,0.167,0,"8","UCP2"
"SNX3",0,1.01667265434097,0.69,0.102,0,"8","SNX3"
"SLC1A3",0,1.01045976640301,0.641,0.016,0,"8","SLC1A3"
"LAMP2",0,1.00981543615979,0.684,0.065,0,"8","LAMP2"
"AP2S1",0,1.00716415845863,0.697,0.056,0,"8","AP2S1"
"BLVRB",0,1.0067475593973,0.671,0.035,0,"8","BLVRB"
"TWF2",0,1.00530621749028,0.694,0.075,0,"8","TWF2"
"RPS11P5",0,1.00398032694479,0.722,0.105,0,"8","RPS11P5"
"ZNF385A",0,1.00380786608352,0.633,0.023,0,"8","ZNF385A"
"COLGALT1",0,1.00300092005205,0.671,0.036,0,"8","COLGALT1"
"CLTC",0,1.00168305250002,0.709,0.114,0,"8","CLTC"
"FNIP2",0,1.00134039991393,0.584,0.047,0,"8","FNIP2"
"TXN",0,1.00010616415123,0.654,0.123,0,"8","TXN"
"ITGAX",0,0.999360550081603,0.639,0.036,0,"8","ITGAX"
"GLIPR1",0,0.998428543123316,0.681,0.096,0,"8","GLIPR1"
"AP2M1",0,0.996724090630781,0.748,0.162,0,"8","AP2M1"
"WDR1",0,0.995242655822551,0.732,0.158,0,"8","WDR1"
"TMED10",0,0.99499437102694,0.738,0.164,0,"8","TMED10"
"PDXK",0,0.994536376259861,0.607,0.043,0,"8","PDXK"
"GNB1.1",0,0.992607210014872,0.775,0.206,0,"8","GNB1"
"SSR3",0,0.991846107180041,0.667,0.093,0,"8","SSR3"
"PLEKHO1",0,0.989276577981679,0.657,0.07,0,"8","PLEKHO1"
"YWHAE.1",0,0.985604226423032,0.709,0.15,0,"8","YWHAE"
"ACSL1",0,0.984028309025738,0.603,0.029,0,"8","ACSL1"
"TGOLN2",0,0.982248430560416,0.754,0.158,0,"8","TGOLN2"
"SLC43A3",0,0.980133413918987,0.578,0.046,0,"8","SLC43A3"
"LTA4H",0,0.980106075852426,0.581,0.054,0,"8","LTA4H"
"UNC93B1",0,0.979562064981058,0.681,0.043,0,"8","UNC93B1"
"PTPN6",0,0.978034112730962,0.632,0.068,0,"8","PTPN6"
"ST14",0,0.977337839183,0.62,0.027,0,"8","ST14"
"MYDGF",0,0.974908488344355,0.636,0.079,0,"8","MYDGF"
"CYFIP1",0,0.973334711974677,0.659,0.051,0,"8","CYFIP1"
"VASP",0,0.97273640425111,0.687,0.117,0,"8","VASP"
"SLC25A5",0,0.971990328401706,0.683,0.107,0,"8","SLC25A5"
"NCOA4",0,0.971836425845914,0.665,0.089,0,"8","NCOA4"
"EFHD2",0,0.971037692606325,0.706,0.136,0,"8","EFHD2"
"HADHA",0,0.970506227272255,0.671,0.083,0,"8","HADHA"
"PLA2G7",0,0.96365722891238,0.503,0.006,0,"8","PLA2G7"
"GDI2",0,0.960622854755608,0.69,0.121,0,"8","GDI2"
"TSC22D1.1",0,0.959304167164617,0.558,0.096,0,"8","TSC22D1"
"ATP6V1G1",0,0.958111302947717,0.687,0.158,0,"8","ATP6V1G1"
"NCKAP1L",0,0.955790464590487,0.694,0.096,0,"8","NCKAP1L"
"PRKCD",0,0.954874647962772,0.625,0.045,0,"8","PRKCD"
"LIMS1",0,0.953409152695388,0.609,0.066,0,"8","LIMS1"
"USF2",0,0.9529237044291,0.7,0.121,0,"8","USF2"
"ATP5A1",0,0.950300597098573,0.687,0.136,0,"8","ATP5A1"
"RP11.832N8.1.1",0,0.946357047331547,0.706,0.144,0,"8","RP11.832N8.1"
"SCAMP2",0,0.94544897766074,0.696,0.097,0,"8","SCAMP2"
"TFRC",0,0.945327771261613,0.47,0.03,0,"8","TFRC"
"POMP",0,0.943945961134596,0.672,0.087,0,"8","POMP"
"CAPZA1",0,0.938702193457869,0.697,0.129,0,"8","CAPZA1"
"CAPZA2",0,0.935789663025042,0.69,0.064,0,"8","CAPZA2"
"RBPJ",0,0.932892671617187,0.677,0.121,0,"8","RBPJ"
"SLC31A2",0,0.930367418423657,0.643,0.028,0,"8","SLC31A2"
"MS4A4A",0,0.929852928839399,0.577,0.015,0,"8","MS4A4A"
"SCPEP1",0,0.927271722536861,0.642,0.057,0,"8","SCPEP1"
"ATP5G3",0,0.927013483285985,0.628,0.104,0,"8","ATP5G3"
"C1ORF162",0,0.926981196509189,0.629,0.053,0,"8","C1ORF162"
"GPC4",0,0.926536872186981,0.313,0.01,0,"8","GPC4"
"ADAM9",0,0.925175293129363,0.613,0.017,0,"8","ADAM9"
"YWHAH",0,0.918523806643922,0.597,0.062,0,"8","YWHAH"
"ACTN1.1",0,0.917615196649181,0.583,0.101,0,"8","ACTN1"
"LASP1",0,0.911823221297046,0.617,0.114,0,"8","LASP1"
"C2",0,0.911615261484229,0.529,0.013,0,"8","C2"
"PECAM1.6",0,0.90996200612079,0.707,0.118,0,"8","PECAM1"
"DPYSL2.1",0,0.909417881243071,0.67,0.099,0,"8","DPYSL2"
"NPL",0,0.907672690715305,0.626,0.012,0,"8","NPL"
"LYN",0,0.906702702761743,0.642,0.065,0,"8","LYN"
"MAF",0,0.906165887350378,0.664,0.116,0,"8","MAF"
"RHOG",0,0.903413189554633,0.672,0.093,0,"8","RHOG"
"NAGK",0,0.901700737461358,0.633,0.045,0,"8","NAGK"
"RAP1A",0,0.901295067679463,0.683,0.127,0,"8","RAP1A"
"EPHX1",0,0.901262369088069,0.606,0.052,0,"8","EPHX1"
"CD151",0,0.900801626327291,0.607,0.073,0,"8","CD151"
"TM9SF2",0,0.898686211281596,0.636,0.094,0,"8","TM9SF2"
"ITGAM",0,0.897889929759445,0.599,0.033,0,"8","ITGAM"
"PDIA6",0,0.897253177434576,0.629,0.097,0,"8","PDIA6"
"MORF4L1",0,0.897214706613325,0.688,0.168,0,"8","MORF4L1"
"EIF5A",0,0.896731973353036,0.654,0.128,0,"8","EIF5A"
"OAS1",0,0.896058673827296,0.581,0.032,0,"8","OAS1"
"GUSB",0,0.895765755215196,0.578,0.044,0,"8","GUSB"
"SLC17A5",0,0.893008090739958,0.503,0.031,0,"8","SLC17A5"
"AP1B1",0,0.892420644448744,0.617,0.053,0,"8","AP1B1"
"COX5B",0,0.890979807826931,0.614,0.124,0,"8","COX5B"
"PEPD",0,0.890319768663668,0.614,0.065,0,"8","PEPD"
"VCP",0,0.889431417033184,0.67,0.129,0,"8","VCP"
"PIK3AP1",0,0.88934419353517,0.599,0.03,0,"8","PIK3AP1"
"IGSF6",0,0.888687084132922,0.541,0.018,0,"8","IGSF6"
"TRPV2",0,0.88841825882566,0.549,0.038,0,"8","TRPV2"
"NCSTN",0,0.88825857510307,0.626,0.075,0,"8","NCSTN"
"G6PD",0,0.887872047347323,0.545,0.052,0,"8","G6PD"
"CTDNEP1",0,0.886554598035254,0.674,0.139,0,"8","CTDNEP1"
"COX6B1",0,0.886550782109424,0.678,0.156,0,"8","COX6B1"
"KCNAB2",0,0.886441413867992,0.599,0.066,0,"8","KCNAB2"
"UBE2D3",0,0.885884776448548,0.72,0.185,0,"8","UBE2D3"
"NUCB1",0,0.884296641416768,0.651,0.11,0,"8","NUCB1"
"ISG15",0,0.883894073925365,0.535,0.054,0,"8","ISG15"
"PTTG1IP",0,0.882320896706399,0.662,0.123,0,"8","PTTG1IP"
"NUPR1",0,0.881335676258838,0.459,0.053,0,"8","NUPR1"
"TSPAN4",0,0.881232898623717,0.646,0.051,0,"8","TSPAN4"
"PLBD2",0,0.880808589984695,0.636,0.038,0,"8","PLBD2"
"VDAC1",0,0.880670864043796,0.61,0.06,0,"8","VDAC1"
"ARAP1",0,0.879958401863211,0.648,0.064,0,"8","ARAP1"
"KCTD12.1",0,0.879054610955132,0.665,0.083,0,"8","KCTD12"
"REEP5",0,0.878821005575886,0.652,0.104,0,"8","REEP5"
"EVI2B",0,0.878604212658497,0.659,0.109,0,"8","EVI2B"
"ATP5J2",0,0.876858256920185,0.636,0.102,0,"8","ATP5J2"
"SLC6A6",0,0.875458436104152,0.542,0.04,0,"8","SLC6A6"
"HSD17B4",0,0.875417944105397,0.583,0.038,0,"8","HSD17B4"
"ACADVL",0,0.873605883518801,0.594,0.112,0,"8","ACADVL"
"CTNNA1",0,0.870888209167979,0.664,0.081,0,"8","CTNNA1"
"ARPC4",0,0.870690099386211,0.668,0.127,0,"8","ARPC4"
"RHOC",0,0.86721021457623,0.57,0.084,0,"8","RHOC"
"TNFAIP2",0,0.866563766183341,0.561,0.046,0,"8","TNFAIP2"
"COX6A1",0,0.865878704836292,0.668,0.143,0,"8","COX6A1"
"CRTAP.1",0,0.865412380838652,0.709,0.15,0,"8","CRTAP"
"PLA2G15",0,0.864427831552531,0.572,0.014,0,"8","PLA2G15"
"SQRDL",0,0.863313087226987,0.587,0.049,0,"8","SQRDL"
"PLXDC2",0,0.862043945199246,0.584,0.048,0,"8","PLXDC2"
"PRCP.1",0,0.861507291018697,0.661,0.085,0,"8","PRCP"
"THEMIS2",0,0.860391666924609,0.643,0.046,0,"8","THEMIS2"
"BSG",0,0.860389650114809,0.607,0.092,0,"8","BSG"
"CEBPA",0,0.856196200991809,0.554,0.017,0,"8","CEBPA"
"ATOX1",0,0.855169606450981,0.604,0.053,0,"8","ATOX1"
"TGFB1",0,0.854822960596735,0.632,0.093,0,"8","TGFB1"
"PABPC4",0,0.852993881734137,0.675,0.113,0,"8","PABPC4"
"KDELR1",0,0.852726395505116,0.686,0.123,0,"8","KDELR1"
"CD82",0,0.852362800313817,0.6,0.089,0,"8","CD82"
"TMEM123",0,0.846904056270107,0.683,0.145,0,"8","TMEM123"
"LAMTOR1",0,0.845420848597665,0.688,0.121,0,"8","LAMTOR1"
"TNFSF13B",0,0.845114454075847,0.623,0.044,0,"8","TNFSF13B"
"RPN1",0,0.844473716250287,0.59,0.058,0,"8","RPN1"
"IFI44L",0,0.844008937480878,0.493,0.067,0,"8","IFI44L"
"NAGA",0,0.843453788794182,0.61,0.031,0,"8","NAGA"
"GLRX",0,0.839786846229702,0.575,0.053,0,"8","GLRX"
"VAPA",0,0.838641729019545,0.626,0.09,0,"8","VAPA"
"CTNNB1",0,0.838266517073492,0.642,0.089,0,"8","CTNNB1"
"NHSL2",0,0.837393395787814,0.652,0.063,0,"8","NHSL2"
"MYD88",0,0.837215667540161,0.578,0.057,0,"8","MYD88"
"MBD2",0,0.836780199917815,0.607,0.095,0,"8","MBD2"
