"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"TMED10.1",3.73597813952371e-32,0.275892742147449,0.406,0.185,7.5388302877449e-28,"11","TMED10"
"CALM1.6",6.38214352926997e-32,0.259738095196594,0.668,0.42,1.28785274277139e-27,"11","CALM1"
"SPP1.10",9.07647719821999e-32,-1.37314301837063,0.359,0.139,1.83154233382881e-27,"11","SPP1"
"HCST.6",2.26610813196871e-31,0.264246344785944,0.459,0.228,4.57277959949965e-27,"11","HCST"
"MAPKAPK2.1",2.40695208399297e-31,0.291243997800641,0.26,0.097,4.85698861028941e-27,"11","MAPKAPK2"
"RPL13P12.1",2.55794106515972e-31,0.343428838421528,0.366,0.167,5.1616692753858e-27,"11","RPL13P12"
"RPL34P18.1",4.08379028977415e-31,0.30726906953064,0.302,0.123,8.24068042573526e-27,"11","RPL34P18"
"TUBB.6",4.57947541473553e-31,0.269606717342021,0.486,0.249,9.24092343939483e-27,"11","TUBB"
"HNRNPA0.1",6.8471405742637e-31,0.257781576474625,0.403,0.19,1.38168449648067e-26,"11","HNRNPA0"
"UBALD2.1",1.09518786652569e-30,0.261812446563128,0.366,0.162,2.2099795958622e-26,"11","UBALD2"
"SSR2.1",2.39830694819112e-30,0.251636320500714,0.429,0.207,4.83954359075485e-26,"11","SSR2"
"WAC.1",1.61795492600824e-29,0.279083141247906,0.378,0.176,3.26487124519202e-25,"11","WAC"
"FUS.1",5.6428078536139e-29,0.276292968964808,0.479,0.253,1.13866219678075e-24,"11","FUS"
"DUSP2.7",8.04894972385582e-29,0.380183261645051,0.387,0.186,1.62419756477687e-24,"11","DUSP2"
"HSPA1A.5",1.05609196065645e-28,0.576985806175241,0.394,0.183,2.13108796740865e-24,"11","HSPA1A"
"EDF1.1",1.08916083705746e-28,0.260576702926321,0.452,0.232,2.19781765309824e-24,"11","EDF1"
"SRSF2.1",1.84622275236972e-28,0.282929122132819,0.41,0.205,3.72549289200685e-24,"11","SRSF2"
"SEPT9.1",3.97071294483038e-28,0.337506424997548,0.465,0.256,8.01250165137322e-24,"11","SEPT9"
"MYH9.5",4.06164303332951e-28,0.303719335057487,0.62,0.387,8.19598947695561e-24,"11","MYH9"
"HLA.F.1",6.32818575866324e-28,0.301432766624461,0.406,0.203,1.27696460424066e-23,"11","HLA.F"
"CFLAR.1",8.42523256922211e-28,0.288424019755033,0.387,0.192,1.70012768014333e-23,"11","CFLAR"
"PSMB1.1",8.74972135904557e-28,0.254749586100479,0.355,0.162,1.76560627304181e-23,"11","PSMB1"
"FLNA.8",9.40145023189307e-28,0.321950614694979,0.588,0.384,1.8971186422937e-23,"11","FLNA"
"KLF2.8",2.85520623397205e-27,0.440453194403944,0.594,0.358,5.7615206595322e-23,"11","KLF2"
"NDUFA4.1",5.9935341570073e-27,0.253641113677724,0.38,0.184,1.2094352575425e-22,"11","NDUFA4"
"ARF6.1",6.82467677235593e-27,0.270521593110397,0.392,0.195,1.3771515258937e-22,"11","ARF6"
"PLD3.9",3.64252826285515e-26,-0.292786266032784,0.364,0.161,7.35025778161541e-22,"11","PLD3"
